bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
2,1 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,10 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,11 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,12 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,13 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,14 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,15 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,16 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,17 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,18 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,19 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,20 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,6 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
2,9 RUE ARTHUR RIMBAUD,94550,CHEVILLY-LARUE,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,174 RUE DU LT PETIT LEROY,94550,CHEVILLY-LARUE,48.778006,2.363613,174 Rue Paul Hochart 94550 Chevilly-Larue,0.49,housenumber,ADRNIVX_0000000270990811,174,Rue Paul Hochart,,94550,Chevilly-Larue,"94, Val-de-Marne, Île-de-France",94021
5,14 RUE DU BERRY,45520,CHEVILLY,48.029334,1.871875,14 Rue de Sougy 45520 Chevilly,0.56,housenumber,ADRNIVX_0000000288234798,14,Rue de Sougy,,45520,Chevilly,"45, Loiret, Centre Val-de-Loire",45093
1,4 RUE DERICBOURG,94550,CHEVILLY-LARUE,48.771965,2.356652,4 Rue de l'Adjudant-Chef Dericbourg 94550 Chevilly-Larue,0.61,housenumber,ADRNIVX_0000000270998846,4,Rue de l'Adjudant-Chef Dericbourg,,94550,Chevilly-Larue,"94, Val-de-Marne, Île-de-France",94021
1,7 RUE DERICBOURG,94550,CHEVILLY-LARUE,48.772078,2.356358,7 Rue de l'Adjudant-Chef Dericbourg 94550 Chevilly-Larue,0.61,housenumber,ADRNIVX_0000000270998853,7,Rue de l'Adjudant-Chef Dericbourg,,94550,Chevilly-Larue,"94, Val-de-Marne, Île-de-France",94021
1,10 RUE DERICBOURG,94550,CHEVILLY-LARUE,48.772693,2.355846,10 Rue de l'Adjudant-Chef Dericbourg 94550 Chevilly-Larue,0.62,housenumber,ADRNIVX_0000000270998857,10,Rue de l'Adjudant-Chef Dericbourg,,94550,Chevilly-Larue,"94, Val-de-Marne, Île-de-France",94021
