bureau,adresse,cp,ville
0001,1 ALLEE DES GLYCINES,94470,BOISSY-SAINT-LEGER
0001,1 ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,1 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,1 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,1 Bis ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,1 Bis AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,1 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,1 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,1 RUE DE LA TERRASSE,94470,BOISSY-SAINT-LEGER
0001,1 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,1 RUE VALLOU DE VILLENEUVE,94470,BOISSY-SAINT-LEGER
0001,1 Ter RUE STANISLAS REVILLON,94470,BOISSY-SAINT-LEGER
0001,10 ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,10 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,10 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,10 Bis ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,10 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,10 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,10 RUE STANISLAS REVILLON,94470,BOISSY-SAINT-LEGER
0001,11 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,11 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,11 Bis RUE TRAVERSIERE,94470,BOISSY ST LEGER
0001,11 Bis RUE TRAVERSIERE,94470,BOISSY-SAINT-LEGER
0001,11 RUE DE LA FONTAINE,94470,BOISSY ST LEGER
0001,11 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,11 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,11 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,11 RUE TRAVERSIERE,94470,BOISSY-SAINT-LEGER
0001,12 ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,12 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,12 Bis DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,12 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,12 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,12 RUE STANISLAS REVILLON,94470,BOISSY-SAINT-LEGER
0001,12 Ter BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,13 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,13 Bis AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,13 Bis RUE DE VALENTON,94470,BOISSY ST LEGER
0001,13 Bis RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,13 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,13 RUE DE LA LUNE,94470,BOISSY-SAINT-LEGER
0001,13 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,13 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,13 RUE DE WAGRAM,94470,BOISSY ST LEGER
0001,13 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,14 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,14 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,14 Bis RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,14 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,14 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,14 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,14 RUE STANISLAS REVILLON,94470,BOISSY-SAINT-LEGER
0001,14 SENTE DES PRESSOIRS,94470,BOISSY-SAINT-LEGER
0001,15 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,15 Bis AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,15 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,15 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,16 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,16 B BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,16 Bis BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,16 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,16 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,16 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,16 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,16 SENTE DES PRESSOIRS,94470,BOISSY-SAINT-LEGER
0001,17 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,17 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,17 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,17 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,17 RUE DE WAGRAM,94470,BOISSY ST LEGER
0001,17 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,17 RUE TRAVERSIERE,94470,BOISSY-SAINT-LEGER
0001,18 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,18 Bis BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,18 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,18 SENTE DES PRESSOIRS,94470,BOISSY-SAINT-LEGER
0001,19 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,19 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,19 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,19 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,19 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,19 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,2 ALLEE DES GLYCINES,94470,BOISSY-SAINT-LEGER
0001,2 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,2 Bis RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,2 Quater ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,2 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,2 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,2 RUE DE VALENTON,94470,BOISSY ST LEGER
0001,2 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,2 RUE VALLOU DE VILLENEUVE,94470,BOISSY-SAINT-LEGER
0001,2 Ter ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,2 Ter RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,20 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,20 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,20 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,21 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,21 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,21 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,21 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,22 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,23 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,23 BD. LEON REVILLON,94470,BOISSY ST LEGER
0001,23 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,23 Bis BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,23 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,24 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,25 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,25 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,26 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,26 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,27 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,27 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,28 Quater RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,28 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,28 Ter RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,29 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,29 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,3 ALLEE DES GLYCINES,94470,BOISSY-SAINT-LEGER
0001,3 ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,3 BD. LEON REVILLON,94470,BOISSY-SAINT-LEGER
0001,3 Bis AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,3 Bis RUE DE LA TERRASSE,94470,BOISSY-SAINT-LEGER
0001,3 RUE DE LA LUNE,94470,BOISSY-SAINT-LEGER
0001,3 RUE DE LA TERRASSE,94470,BOISSY-SAINT-LEGER
0001,3 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,3 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,3 RUE L. ROUGAGNOU - ANCIEN MAIRE,94470,BOISSY-SAINT-LEGER
0001,3 RUE STANISLAS REVILLON,94470,BOISSY ST LEGER
0001,3 RUE STANISLAS REVILLON,94470,BOISSY-SAINT-LEGER
0001,3 RUE VALLOU DE VILLENEUVE,94470,BOISSY-SAINT-LEGER
0001,30 Bis RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,30 Quater RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,30 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,30 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,31 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,32 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,32 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,33 RUE DE LA PROCESSION,94470,BOISSY ST LEGER
0001,33 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,34 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,34 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,34 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,34 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,35 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,36 AV. DU GAL LECLERC,94470,BOISSY ST LEGER
0001,36 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,37 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,37 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,38 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,38 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,39 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,39 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,4 ALLEE DES GLYCINES,94470,BOISSY-SAINT-LEGER
0001,4 ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,4 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,4 Bis RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,4 Bis RUE STANISLAS REVILLON,94470,BOISSY-SAINT-LEGER
0001,4 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,4 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,4 RUE DE LA TERRASSE,94470,BOISSY ST LEGER
0001,4 RUE DE LA TERRASSE,94470,BOISSY-SAINT-LEGER
0001,4 RUE DE VALENTON,94470,BOISSY-SAINT-LEGER
0001,4 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,4 RUE L. ROUGAGNOU - ANCIEN MAIRE,94470,BOISSY-SAINT-LEGER
0001,4 RUE STANISLAS REVILLON,94470,BOISSY-SAINT-LEGER
0001,4 Ter RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,40 AV. DU GAL LECLERC,94470,BOISSY ST LEGER
0001,40 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,41 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,42 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,43 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,44 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,46 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,46 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,47 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,48 AV. DU GAL LECLERC,94470,BOISSY-SAINT-LEGER
0001,49 RUE DE LA PROCESSION,94470,BOISSY-SAINT-LEGER
0001,5 ALLEE DES GLYCINES,94470,BOISSY-SAINT-LEGER
0001,5 ALLEE DU CANDIE,94470,BOISSY-SAINT-LEGER
0001,5 AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,5 Bis AVENUE HOTTINGUER,94470,BOISSY-SAINT-LEGER
0001,5 DOMAINE DE GROSBOIS,94470,BOISSY-SAINT-LEGER
0001,5 RUE DE LA FONTAINE,94470,BOISSY-SAINT-LEGER
0001,5 RUE DE LA LUNE,94470,BOISSY-SAINT-LEGER
0001,5 RUE DE LA TERRASSE,94470,BOISSY ST LEGER
0001,5 RUE DE WAGRAM,94470,BOISSY-SAINT-LEGER
0001,5 RUE TRAVERSIERE,94470,BOISSY-SAINT-LEGER
