bureau,adresse,cp,ville
0001,1 ALLEE DES SORBIERS,94520,PERIGNY
0001,1 ALLEE SIMON DE PAROIGNY,94520,PERIGNY
0001,1 Bis RUE DE BRIE,94520,PERIGNY
0001,1 PLACE BACCARA,94520,PERIGNY
0001,1 PLACE DU GENERAL DE GAULLE,94520,PERIGNY
0001,1 RUE ALEXANDRE DUMAS,94520,PERIGNY
0001,1 RUE DE BRIE,94520,PERIGNY
0001,1 RUE DES CHATAIGNIERS,94520,PERIGNY
0001,1 SENTIER DES MARCHES,94520,PERIGNY
0001,10 ALLEE ACHILLE DE THOMASSIN,94520,PERIGNY
0001,10 ALLEE SIMON DE PAROIGNY,94520,PERIGNY
0001,10 AVENUE DES CHARMES,94520,PERIGNY
0001,10 DOMAINE DE SAINT-LEU,94520,PERIGNY
0001,10 RUE DE MANDRES,94520,PERIGNY
0001,100 AVENUE DES TILLEULS,94520,PERIGNY
0001,100 RUE DES ROSES,94520,PERIGNY
0001,101 AVENUE DES TILLEULS,94520,PERIGNY
0001,101 PLACE ROSE LINDA,94520,PERIGNY
0001,102 AVENUE DES TILLEULS,94520,PERIGNY
0001,102 RUE DES ROSES,94520,PERIGNY
0001,103 AVENUE DES TILLEULS,94520,PERIGNY
0001,104 AVENUE DES TILLEULS,94520,PERIGNY
0001,105 AVENUE DES TILLEULS,94520,PERIGNY
0001,106 AVENUE DES TILLEULS,94520,PERIGNY
0001,107 AVENUE DES TILLEULS,94520,PERIGNY
0001,108 AVENUE DES TILLEULS,94520,PERIGNY
0001,11 ALLEE ACHILLE DE THOMASSIN,94520,PERIGNY
0001,11 ALLEE SIMON DE PAROIGNY,94520,PERIGNY
0001,11 AVENUE DES CHARMES,94520,PERIGNY
0001,11 IMPASSE DU BEL AIR,94520,PERIGNY
0001,11 PLACE DU GENERAL DE GAULLE,94520,PERIGNY
0001,11 RUE ALEXANDRE DUMAS,94520,PERIGNY
0001,11 RUE DE MANDRES,94520,PERIGNY
0001,11 RUE DES CHATAIGNIERS,94520,PERIGNY
0001,12 ALLEE ACHILLE DE THOMASSIN,94520,PERIGNY
0001,12 AVENUE DES CHARMES,94520,PERIGNY
0001,12 IMPASSE DU BEL AIR,94520,PERIGNY
0001,12 RUE ALEXANDRE DUMAS,94520,PERIGNY
0001,12 RUE DE MANDRES,94520,PERIGNY
0001,12 VILLA MADAME MEILLAND,94520,PERIGNY
0001,13 ALLEE ACHILLE DE THOMASSIN,94520,PERIGNY
0001,13 ALLEE SIMON DE PAROIGNY,94520,PERIGNY
0001,13 AVENUE DES CHARMES,94520,PERIGNY
0001,13 IMPASSE DU BEL AIR,94520,PERIGNY
0001,13 PLACE DU GENERAL DE GAULLE,94520,PERIGNY
0001,13 RUE ALEXANDRE DUMAS,94520,PERIGNY
0001,13 RUE DE MANDRES,94520,PERIGNY
0001,13 RUE DES CHATAIGNIERS,94520,PERIGNY
0001,13 RUE DES ROSES,94520,PERIGNY
0001,14 ALLEE ACHILLE DE THOMASSIN,94520,PERIGNY
0001,14 ALLEE SIMON DE PAROIGNY,94520,PERIGNY
0001,14 AVENUE DES CHARMES,94520,PERIGNY
0001,14 IMPASSE DU BEL AIR,94520,PERIGNY
