bureau,adresse,cp,ville
0001,01 RUE PIERRE DE COUBERTIN,94510,LA QUEUE-EN-BRIE
0001,1 / rue RUE PIERRE DE COUBERTIN,94510,LA QUEUE-EN-BRIE
0001,1 AVENUE DES BORDES,94510,LA QUEUE-EN-BRIE
0001,1 RUE EDGAR DEGAS,94510,LA QUEUE-EN-BRIE
0001,1 RUE PIERRE DE COUBERTIN,94510,LA QUEUE EN BRIE
0001,1 RUE PIERRE DE COUBERTIN,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE ALEXANDRE DUMAS,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE ARISTIDE BRIAND,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE CHARLES BAUDELAIRE,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE CHATEAUBRIAND,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE EMILE ZOLA,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE FRANCOIS DE CUREL,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE JEAN JACQUES ROUSSEAU,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE PIERRE BENOIT,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE PIERRE LOTI,94510,LA QUEUE EN BRIE
0001,1 SQUARE PIERRE LOTI,94510,LA QUEUE-EN-BRIE
0001,1 SQUARE ST EXUPERY,94510,LA QUEUE-EN-BRIE
0001,10 / square SQUARE ST EXUPERY,94510,LA QUEUE-EN-BRIE
0001,10 AVENUE DES BORDES,94510,LA QUEUE-EN-BRIE
0001,10 AVENUE DU MARECHAL MORTIER,94510,LA QUEUE EN BRIE
0001,10 AVENUE DU MARECHAL MORTIER,94510,LA QUEUE-EN-BRIE
0001,10 SQUARE ARISTIDE BRIAND,94510,LA QUEUE-EN-BRIE
0001,10 SQUARE CHARLES BAUDELAIRE,94510,LA QUEUE-EN-BRIE
0001,10 SQUARE DIDEROT,94510,LA QUEUE-EN-BRIE
0001,10 SQUARE FRANCOIS DE CUREL,94510,LA QUEUE-EN-BRIE
0001,10 SQUARE PIERRE BENOIT,94510,LA QUEUE-EN-BRIE
0001,10 SQUARE PIERRE LOTI,94510,LA QUEUE-EN-BRIE
0001,10 SQUARE ST EXUPERY,94510,LA QUEUE-EN-BRIE
0001,11 Bis AVENUE DES BORDES,94510,LA QUEUE-EN-BRIE
0001,11 RUE EDGAR DEGAS,94510,LA QUEUE-EN-BRIE
0001,11 SQUARE ALEXANDRE DUMAS,94510,LA QUEUE-EN-BRIE
0001,11 SQUARE ARISTIDE BRIAND,94510,LA QUEUE-EN-BRIE
0001,11 SQUARE CHARLES BAUDELAIRE,94510,LA QUEUE-EN-BRIE
0001,11 SQUARE DIDEROT,94510,LA QUEUE-EN-BRIE
0001,11 SQUARE EMILE ZOLA,94510,LA QUEUE-EN-BRIE
0001,11 SQUARE FRANCOIS DE CUREL,94510,LA QUEUE-EN-BRIE
